No	| English	| Vietnamese
1745	| make friends with	| kết bạn với
1746	| male	| trai, trống, đực; con trai, đàn ông, con trống, đực
1747	| mall	| búa
1748	| man	| con người; đàn ông
1749	| manage	| quản lý, trông nom, điều khiển
1750	| management	| sựquảnlý,sựtrôngnom,sự điều khiển
1751	| manager	| người quản lý, giám đốc
1752	| manner	| cách, lối, kiểu; dáng, vẻ, thái độ
1753	| manufacture	| sản xuất, chế tạo
1754	| manufacturer	| người chế tạo, người sản xuất
1755	| manufacturing	| sự sản xuất, sự chế tạo
1756	| many	| nhiều
1757	| map	| bản đồ
1758	| march (abbr mar)	| tháng ba
1759	| mark	| dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
1760	| market	| chợ, thị trường
1761	| marketing	| ma
1762	| marriage	| sự cưới xin, sự kết hôn, lễ cưới
1763	| married	| cưới, kết hôn
1764	| marry	| cưới (vợ), lấy (chồng)
1765	| mass	| khối, khối lượng; quần chúng, đại chúng
1766	| massive	| to lớn, đồ sộ
1767	| master	| chủ, chủ nhân, thầy giáo, thạc sĩ
1768	| match	| trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
1769	| matching	| tính địch thù, thi đấu
1770	| mate	| bạn, bạn nghề; giao phối
1771	| material	| nguyênvậtliệu;vậtchất, hữuhình
1772	| mathematics, also maths	| toán học, môn toán
1773	| matter	| chất, vật chất; có ý nghĩa, có tính chất quan trọng
1774	| maximum	| cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
1775	| may	| có thể, có lẽ
1776	| maybe	| có thể, có lẽ
1777	| mayor	| thị trưởng
1778	| me	| tôi, tao, tớ
1779	| meal	| bữa ăn
1780	| mean	| nghĩa,cónghĩalà
1781	| meaning	| ý, ý nghĩa
1782	| means	| của cải, tài sản, phương tiện. by means: of bằng phương tiện
1783	| meanwhile	| trong lúc đó, trong lúc ấy
1784	| measure	| đo, đo lường; sự đo lường,đơnvịđolường
1785	| measurement	| sự đo lường, phép đo
1786	| meat	| thịt
1787	| media	| phương tiện truyền thông đại chúng
1788	| medical	| (thuộc) y học
1789	| medicine	| y học, y khoa; thuốc
1790	| medium	| trung bình, trung, vưa; sự trung gian, sự môi giới
1791	| meet	| gặp, gặp gỡ
1792	| meeting	| cuộc mít tinh, cuộc biểu tình
1793	| melt	| tan ra, chảy ra; làm tan chảy ra
1794	| member	| thành viên, hội viên
1795	| membership	| tư cách hội viên, địa vị hội viên
1796	| memory	| bộ nhớ, trí nhớ, kỉ niệm. in memory of: sự tưởng nhớ
1797	| mental	| (thuộc) trí tuệ, trí óc; mất trí
1798	| mentally	| về mặt tinh thần
1799	| mention	| kể ra, nói đến, đề cập
1800	| menu	| thực đơn
1801	| mere	| chỉ là
1802	| merely	| chỉ, đơn thuần
1803	| mess	| tình trạng bưa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
1804	| message	| tin nhắn, thư tín, điện thông báo, thông điệp
1805	| metal	| kim loại
1806	| method	| phương pháp, cách thức
1807	| metre	| mét
1808	| mid	| null
1809	| midday	| trưa, buổi trưa
1810	| middle	| giữa, ở giữa
1811	| midnight	| nửa đêm, 12h đêm
1812	| might	| qk. may có thể, có lẽ
1813	| mild	| nhẹ, êm dịu, ôn hòa
1814	| mile	| dặm (đo lường)
1815	| military	| (thuộc) quân đội, quân sự
1816	| milk	| sữa
1817	| mind	| tâmtrí,tinhthần,trítuệ; chúý,đểý,chămsóc,quantâm
1818	| mine	| của tôi
1819	| mineral	| công nhân, thợ mỏ; khoáng
1820	| minimum	| tối thiểu; số lượng tối thiểu, mức tối thiểu
1821	| minister	| bộ trưởng
1822	| ministry	| bộ
1823	| minor	| nhỏ hơn, thứ yếu, không quan trọng
1824	| minority	| phần ít, thiểu số
1825	| minute	| phút
1826	| mirror	| gương
1827	| miss	| lỡ, trượt; sự trượt, sự thiếu vắng
1828	| missing	| vắng, thiếu, thất lạc
1829	| mistake	| lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
1830	| mistaken	| sai lầm, hiểu lầm
1831	| mix	| pha, trộn lẫn; sự pha trộn
1832	| mixed	| lẫn lộn, pha trộn
1833	| mixture	| sự pha trộn, sự hỗn hợp
1834	| mobile	| chuyển động, di động
1835	| mobile phone (mobile)	| điện thoại đi động
1836	| model	| mẫu, kiểu mẫu
1837	| modern	| hiện đại, tân tiến
1838	| moment	| chốc, lát
1839	| monday (abbr mon)	| thứ 2
1840	| money	| tiền
1841	| monitor	| lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
1842	| month	| tháng
1843	| mood	| lối, thức, điệu, tâm trạng, tính khí
1844	| moon	| mặt trăng
1845	| moral	| (thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
1846	| morally	| có đạo đức
1847	| more	| hơn, nhiều hơn
1848	| moreover	| hơn nữa, ngoàira,vảlại
1849	| morning	| buổi sáng
1850	| most	| lớnnhất,nhiềunhất; nhất,hơncả
1851	| mostly	| hầu hết, chủ yếu là
1852	| mother	| mẹ
1853	| motion	| sự chuyển động, sụ di động
1854	| motor	| động cơ mô tô
1855	| motorcycle	| xe mô tô
1856	| mount	| leo, trèo; núi
1857	| mountain	| núi
1858	| mouse	| chuột
1859	| mouth	| miệng
1860	| move	| di chuyển, chuyển động; sự di chuyển, sự chuyển động
1861	| movement	| sự chuyển động, sự hoạt động; c động, động tác
1862	| movie	| phim xi nê
1863	| movie theater	| rạp chiếu phim
1864	| moving	| động, hoạt động
1865	| mr	| ông, ngài
1866	| mrs	| cô
1867	| ms	| bà, cô
1868	| much	| nhiều, lắm
1869	| mud	| bùn
1870	| multiply	| nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
1871	| mum	| mẹ
1872	| murder	| tội giết người, tội ám sát; giết người, ám sát
1873	| muscle	| cơ, bắp thịt
1874	| museum	| bảo tàng
1875	| music	| nhạc, âm nhạc
1876	| musical	| (thuộc) nhạc, âm nhạc; du dương êm ái
1877	| musician	| nhạc sĩ
1878	| must	| phải, cần, nên làm
1879	| my	| của tôi
1880	| myself	| tự tôi, chính tôi
1881	| mysterious	| thần bí, huyền bí, khó hiểu
1882	| mystery	| điều huyền bí, điều thần bí
1883	| nail	| móng (tay, chân) móng vuốt
1884	| naked	| trần, khỏa thân, trơ trụi
1885	| name	| tên; đặt tên, gọi tên
1886	| narrow	| hẹp, chật hẹp
1887	| nation	| dân tộc, quốc gia
1888	| national	| (thuộc) quốc gia, dân tộc
1889	| natural	| (thuộc) tự nhiên, thiên nhiên
1890	| naturally	| vốn, tự nhiên, đương nhiên
1891	| nature	| tự nhiên, thiên nhiên
1892	| navy	| hải quân
1893	| near	| gần, cận; ở gần
1894	| nearby	| gần
1895	| nearly	| gần, sắp, suýt
1896	| neat	| sạch, ngăn nắp; rành mạch
1897	| neatly	| gọn gàng, ngăn nắp
1898	| necessarily	| tất yếu, nhất thiết
1899	| necessary	| cần,cầnthiết,thiếtyếu
1900	| neck	| cổ
1901	| need	| cần, đòi hỏi; sự cần
1902	| needle	| cái kim, mũi nhọn
1903	| negative	| phủ định
1904	| neighbour	| hàng xóm
1905	| neighbourhood	| hàng xóm, làng giềng
1906	| neither	| không này mà cũng không kia
1907	| nephew	| cháu trai (con anh, chị, em)
1908	| nerve	| khí lực, thần kinh, can đảm
1909	| nervous	| hoảng sợ, dễ bị kích thích, hay lo lắng
1910	| nervously	| bồn chồn, lo lắng
1911	| nest	| tổ, ổ; làm tổ
1912	| net	| lưới, mạng
1913	| network	| mạng lưới, hệ thống
1914	| never	| khôngbaogiờ,khôngkhinào
1915	| nevertheless	| tuynhiên,tuy thếmà
1916	| new	| mới, mới mẻ, mới lạ
1917	| newly	| mới
1918	| news	| tin, tin tức
1919	| newspaper	| báo
1920	| next	| sát, gần, bên cạnh; lần sau, tiếp nữa. next to: gần
1921	| nice	| đẹp, thú vị, dễ chịu
1922	| nicely	| thú vị, dễ chịu
1923	| niece	| cháu gái
1924	| night	| đêm, tối
1925	| no	| không
1926	| nobody (noone)	| khôngai,khôngngườinào
1927	| noise	| tiếng ồn, sự huyên náo
1928	| noisily	| ồn ào, huyên náo
1929	| noisy	| ồn ào, huyên náo
1930	| non	| null
1931	| none	| không ai, không người, vật gì
1932	| nonsense	| lời nói vô lý, vô nghĩa
1933	| nor	| cũng không
1934	| normal	| thường, bình thường; tình trạng bình thường
1935	| normally	| thông thường, như thường lệ
1936	| north	| phía bắc, phương bắc
1937	| northern	| bắc
1938	| nose	| mũi
1939	| not	| không
1940	| note	| lời ghi, lời ghi chép; ghi chú, ghi chép
1941	| nothing	| không gì, không cái gì
1942	| notice	| thông báo, yết thị; chú ý, để ý, nhận biết. take notice of chú ý
1943	| noticeable	| đáng chú ý, đáng để ý
1944	| novel	| tiểu thuyết, truyện
1945	| november (abbr nov)	| tháng 11
1946	| now	| bây giờ, hiện giờ, hiện nay
1947	| nowhere	| không nơi nào, không ở đâu
1948	| nuclear	| (thuộc) hạt nhân
1949	| number (abbr no)	| số
1950	| nurse	| y tá
1951	| nut	| quảhạch;đầu
1952	| o clock	| đúng giờ
1953	| obey	| vâng lời, tuân theo, tuân lệnh
1954	| object	| vật, vật thể, đối tượng; phản đối,chống lại
1955	| objective	| mục tiêu, mục đích; (thuộc) mục tiêu, khách quan
1956	| observation	| sự quan sát, sự theo dõi
1957	| observe	| quan sát, theo dõi
1958	| obtain	| đạt được, giành được
1959	| obvious	| rõ ràng, rành mạch, hiển nhiên
1960	| obviously	| một cách rõ ràng, có thể thấy được
1961	| occasion	| dịp, cơ hội
1962	| occasionally	| thỉnh thoảng, đôi khi
1963	| occupied	| đang sử dụng, đầy (người)
1964	| occupy	| giữ, chiếm lĩnh, chiếm giữ
1965	| occur	| xảy ra, xảy đến, xuất hiện
1966	| ocean	| đại dương
1967	| october (abbr oct)	| tháng 10
1968	| odd	| kỳ quặc, kỳ cục, lẻ (số)
1969	| oddly	| kỳ quặc, kỳ cục, lẻ (số)
1970	| of	| của
1971	| off	| tắt; khỏi, cách, rời
1972	| offence	| sự vi phạm, sự phạm tội
1973	| offend	| xúcphạm,làmbựcmình,làmkhóchịu
1974	| offensive	| sự tấn công, cuộc tấn công, sỉ nhục
1975	| offer	| biếu,tặng, cho;sựtrảgiá
1976	| office	| cơ quấn, văn phòng, bộ
1977	| officer	| viên chức, cảnh sát, sĩ quấn
1978	| official	| (thuộc) chính quyền, văn phòng; viên chức, công chức
1979	| officially	| một cách trịnh trọng, một cách chính thức
1980	| often	| thường, hay, luôn
1981	| oh	| chao, ôi chao, chà, này..
1982	| oil	| dầu
1983	| ok (okay)	|  đồng ý, tán thành
1984	| old	| già
1985	| on	| trên, ở trên; tiếp tục, tiếp diễn
1986	| once	| một lần; khi mà, ngay khi, một khi
1987	| one number	| một; một người, một vật nào đó
1988	| onion	| củ hành
1989	| only	| chỉ có 1, duy nhất; chỉ, mới
1990	| onto	| về phía trên, lên trên
1991	| open	| mở, ngỏ; mở, bắt đầu, khai mạc
1992	| opening	| khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
1993	| openly	| công khai, thẳng thắn
1994	| operate	| hoạt động, điều khiển
1995	| operation	| sựhoạt động,quátrìnhhoạtđộng
1996	| opinion	| ý kiến, quan điểm
1997	| opponent	| địch thủ, đối thủ, kẻ thù
1998	| opportunity	|  cơ hội, thời cơ
1999	| oppose	| đốikháng,đối chọi, đối lập;chốngđối,phảnđối
2000	| opposed to	| chống lại, phản đối
2001	| opposing	| tính đối kháng, đối chọi
2002	| opposite	| đốinhau,ngượcnhau;trướcmặt,đối diện; điềutráingược
2003	| opposition	| sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập
2004	| option	| sự lựa chọn
2005	| orange	| quả cam; có màu da cam
2006	| order	| thứ, bậc; ra lệnh. in order to hợp lệ
2007	| ordinary	| thường, thông thường
2008	| organ	| đàn óoc gan
2009	| organization	| tổ chức, cơ quan; sự tổ chức
2010	| organize	| tổ chức, thiết lập
2011	| organized	| có trật tự, ngăn nắp, được sắp xếp, được tổ chức
2012	| origin	| gốc, nguồn gốc, căn nguyên
2013	| original	| (thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
2014	| originally	| một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
2015	| other	| khác
2016	| otherwise	| khác, cách khác; nếu không thì...; mặt khác
2017	| ought to	| phải, nên, hẳn là
2018	| our	| củachúngta,thuộcchúngta,củachúngtôi,củachúngmình
2019	| ours	| củachúngta,thuộcchúngta,củachúngtôi,củachúngmình
2020	| ourselves	| bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
2021	| out	| ngoài, ở ngoài, ra ngoài
2022	| outdoor	| ngoài trời, ở ngoài
2023	| outdoors	| ở ngoài trời, ở ngoài nhà
2024	| outer	| ở phía ngoài, ở xa hơn
2025	| outline	| vẽ, phác tảo; đường nét, hình dáng, nét ngoài
2026	| output	| sự sảnxuất;sảnphẩm,sảnlượng
2027	| outside	| bề ngoài, bên ngoài; ở ngoài; ngoài
2028	| outstanding	| nổi bật, đáng chú ý; còn tồn lại
2029	| oven	| lò (nướng)
2030	| over	| bên trên, vượt qua; lên, lên trên
2031	| overall	| toàn bộ, toàn thể; tất cả, bao gồm
2032	| overcome	| thắng, chiến thắng, khắc phục, đánh bại (khó khăn)
2033	| owe	| nợ, hàm ơn; có được (cái gì)
2034	| own	| của chính mình, tự mình; nhận, nhìn nhận
2035	| owner	| người chủ, chủ nhân
2036	| p.m. (pm)	| quá trưa, chiều, tối
2037	| pace	| bước chân, bước
2038	| pack	| gói, bọc; bó, gói
2039	| package	| gói đồ, bưu kiện; đóng gói, đóng kiện
2040	| packaging	| bao bì
2041	| packet	| gói nhỏ
2042	| page	| trang (sách)
2043	| pain	| sự đau đớn, sự đau khổ
2044	| painful	| đau đớn, đau khổ
2045	| paint	| sơn,vôi màu;sơn,quétsơn
2046	| painter	| họa sĩ
2047	| painting	| sự sơn; bức họa, bức tranh
2048	| pair	| đôi, cặp
2049	| palace	| cung điện, lâu đài
2050	| pale	| taí, nhợt
2051	| pan	| xoong, chảo
2052	| panel	| ván ô (cửa, tường), pa nô
2053	| pants	| quần lót, quần đùi dài
2054	| paper	| giấy
2055	| parallel	| song song, tương đương
2056	| parent	| cha, mẹ
2057	| park	| công viên, vườn hoa; khoanh vùng thành công viên
2058	| parliament	| nghi viện, quốc hội
2059	| part	| phần, bộ phận
2060	| particular	| riêng biệt, cá biệt
2061	| particularly	| một cách đặc biệt, cá biệt, riêng biệt
2062	| partly	| đếnchừngmựcnàođó,phầnnàođó
2063	| partner	| đối tác, cộng sự
2064	| partnership	| sự chung phần, sự cộng tác
2065	| party	| tiệc, buổi liên hoan; đảng
2066	| pass	| qua,vượtqua,ngangqua
2067	| passage	| sự đi qua, sự trôi qua; hành lang
2068	| passenger	| hành khách
2069	| passing	| sự điqua,sựtrôi qua;thoángquangắnngủi
2070	| passport	| hộ chiếu
2071	| past	| quá khứ, dĩ vãng; quá, qua
2072	| path	| đường mòn; hướng đi
2073	| patience	| tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
2074	| patient	| bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
2075	| pattern	| mẫu, khuôn mẫu
2076	| pause	| tạm nghỉ, dưng; sự tạm nghỉ, sự tạm ngưng
2077	| pay	| trả, thanh toán, nộp; tiền lương
2078	| pay attention to	| chú ý tới
2079	| payment	| sự trả tiền, số tiền trả, tiền bồi thường
2080	| peace	| hòa bình, sự hòa thuận
2081	| peaceful	| hòa bình, thái bình, yên tĩnh
2082	| peak	| lưỡi trai; đỉnh, chóp
2083	| pen	| bút
2084	| pence	| đồng xu
2085	| pencil	| bút chì
2086	| penny	| đồng xu
2087	| pension	| tiền trợ cấp, lương hưu
2088	| people	| dân tộc, dòng giống; người
2089	| pepper	| hạt tiêu, cây ớt
2090	| per	| cho mỗi
2091	| per cent (percent)	| phần trăm
2092	| perfect	| hoàn hảo
2093	| perfectly	| một cách hoàn hảo
2094	| perform	| biểu diễn; làm, thực hiện
2095	| performance	| sựlàm,sựthực hiện,sựthihành,sự biểudiễn
2096	| performer	| người biểu diễn, người trình diễn
2097	| perhaps	| có thể, có lẽ
2098	| period	| kỳ, thời kỳ, thời gian; thời đại
2099	| permanent	| lâudài,vĩnhcửu,thườngxuyên
2100	| permanently	| cách thường xuyên, vĩnh cửu
2101	| permission	| sự cho phép, giấy phép
2102	| permit	| chophép,chocơhội
2103	| person	| con người, người
2104	| personal	| cá nhân, tư, riêng tư
2105	| personality	| nhâncách,tínhcách;nhânphẩm,cátính
2106	| personally	| đích thân, bản thân, về phần tôi, đối với tôi
2107	| persuade	| thuyếtphục
2108	| pet	| cơn nóng giận; vật cưng, người được yêu thích
2109	| petrol	| xăng dầu
2110	| phase	| tuần trăng; giai đoạn, thời kỳ
2111	| philosophy	| triết học, triết lý
2112	| photocopy	| bản sao chụp; sao chụp
2113	| photograph (photo)	| ảnh, bức ảnh; chụp ảnh
2114	| photographer	| thợ chụp ảnh, nhà nhiếp ảnh
2115	| photography	| thuật chụp ảnh, nghề nhiếp ảnh
2116	| phrase	| câu; thành ngữ, cụm tư
2117	| physical	| vật chất; (thuộc) cơ thể, thân thể
2118	| physically	| về thân thể, theo luật tự nhiên
2119	| physics	| vật lý học
2120	| piano	| đàn pianô, dương cầm
2121	| pick	| cuốc(đất);đào,khoét(lỗ).pick stupcuốc, vỡ,xé
2122	| picture	| bức vẽ, bức họa
2123	| piece	| mảnh, mẩu; đồng tiền
2124	| pig	| con lợn
2125	| pile	| cọc, chồng, đống, pin; đóng cọc, chất chồng
2126	| pill	| viên thuốc
2127	| pilot	| phi công
2128	| pin	| đinh ghim; ghim., kẹp
2129	| pink	| màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
2130	| pint	| panh(đơnvị(đo lường) ởanhbằng0, 58lít;ởmỹ bằng0, 473lít);panh, lít (bia, sữa) a pint of beer + một panh bia
2131	| pipe	| ống dẫn (khí, nước...)
2132	| pitch	| sân (chơi các môn thể thao); đầu hắc ín
2133	| pity	| lòng thương hại, điều đáng tiếc, đáng thương
2134	| place	| nơi, địa điểm; quảng trường. take place: xảy ra, được cử hành, được tổ chức
2135	| plain	| ngay thẳng, đơn giản, chất phác
2136	| plan	| bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
2137	| plane	| mặt phẳng, mặt bằng, máy bay
2138	| planet	| hành tinh
2139	| planning	| sự lập kế hoạch, sự quy hoạch
2140	| plant	| thực vật, sự mọc lên; trồng, gieo
2141	| plastic	| chất dẻo, làm bằng chất dẻo
2142	| plate	| bản, tấm kim loại
2143	| platform	| nền, bục, bệ; thềm, sân ga
2144	| play	| chơi, đánh; sự vui chơi, trò chơi, trận đấu
2145	| player	| người chơi 1 trò chơi nào đó (nhạc cụ)
2146	| pleasant	| vui vẻ, dễ thương; dịu dàng, thân mật
2147	| pleasantly	| vui vẻ, dễ thương; thân mật
2148	| please	| làmvuilòng,vưalòng, mong...vuilòng,xinmời
2149	| pleased	| hài lòng
2150	| pleasing	| mang lại niềm vui thích; dễ chịu
2151	| pleasure	| niềmvui thích,điềuthích thú,điềuthúvị;ýmuốn,ýthích
2152	| plenty	| nhiều (s.k.lượng); chỉ sự thưa; sự sung túc, sự p.phú
2153	| plot	| mảnh đất nhỏ, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
2154	| plug	| nút (thùng, chậu, bồ(n)..), cái phíc cắm
2155	| plus	| cộng với (số, người...); dấu cộng; cộng, thêm vào
2156	| pocket	| túi (quần áo, trong xe hơi), túi tiền
2157	| poem	| bài thơ
2158	| poetry	| thi ca; chất thơ
2159	| point	| mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
2160	| pointed	| nhọn, có đầu nhọn
2161	| poison	| chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
2162	| poisonous	| độc, có chất độc, gây chết, bệnh
2163	| pole	| người ba lan; cực (nam châm, trái đat...)
2164	| police	| cảnh sát, công an
2165	| policy	| chính sách
2166	| polish	| nước bóng, nước láng; đánh bóng, làm cho láng
2167	| polite	| lễ phép, lịch sự
2168	| politely	| lễ phép, lịch sự
2169	| political	| về chính trị, về chính phủ, có tính chính trị
2170	| politically	| vềmặtchínhtrị;khônngoan, thận trọng;sảoquyệt
2171	| politician	| nhà chính trị, chính khách
2172	| politics	| họat động chính trị, đời sống chính trị, quan điểm chính trị
2173	| pollution	| sự ô nhiễm
2174	| pool	| vũng nước; bể bơi, hồ bơi
2175	| poor	| nghèo
2176	| pop	| tiếp bốp, phong cách dân gian hiện đại; nổ bốp
2177	| popular	| cótínhđạichúng,(thuộc)nhândân;đượcnhiềungười ưachuộng
2178	| population	| dân cư, dân số; mật độ dân số
2179	| port	| cảng
2180	| pose	| đưa ra, đề ra, đặt; sự đặt, đề ra
2181	| position	| vị trí, chỗ
2182	| positive	| khẳngđịnh, xácthực,rõràng,tíchcực,lạcquan
2183	| possess	| có, chiếm hữu
2184	| possession	| quyền sở hữu, vật sở hữu
2185	| possibility	| khả năng, triển vọng
2186	| possible	| có thể, có thể thực hiện
2187	| possibly	| có lẽ, có thể, có thể chấp nhận được
2188	| post	| thư, bưu kiện; gửi thư
2189	| post office	| bưu điện
2190	| pot	| can, bình, lọ...
2191	| potato	| khoai tây
2192	| potential	| tiềm năng; khả năng, tiềm lực
2193	| potentially	| tiềm năng, tiềm ẩn
2194	| pound	| pao
2195	| pour	| rót, đổ, giội
2196	| powder	| bột, bụi
2197	| power	| khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
2198	| powerful	| hùng mạnh, hùng cường
2199	| practical	| thực hành; thực tế
2200	| practically	| về mặt thực hành; thực tế
2201	| practice	| thực hành, thực tiễn
2202	| practise	| thực hành, tập luyện
2203	| praise	| sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
2204	| prayer	| sự cầu nguyện
2205	| precise	| rõràng,chínhxác; tỉmỉ, kỹtính
2206	| precisely	| đúng, chính xác, cần thận
2207	| predict	| báo trước, tiên đoán, dự báo
2208	| prefer	| thích hơn
2209	| preference	| sự thích hơn, sự ưa hơn; cái đượ ưa thích hơn
2210	| pregnant	| mang thai; giàu trí tưởng tượng, sáng tạo
2211	| premises	| biệt thự
2212	| preparation	| sự sửa soạn, sự chuẩn bị
2213	| prepare	| sửa soạn, chuẩn bị
2214	| prepared	| đã được chuẩn bị
2215	| presence	| sự hiện diện, sự có mặt; người, vât hiện diện
2216	| present	| có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
2217	| presentation	| bài thuyết trình, sự trình diện, sự giới thiệu
2218	| preserve	| bảo quản, giữ gìn
2219	| president	| hiệu trưởng, chủ tịnh, tổng thống
2220	| press	| sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
2221	| pressure	| sức ép, áp lực, áp suất
2222	| presumably	| có thể được, có lẽ
2223	| pretend	| giả vờ, giả bộ, làm ra vẻ
2224	| pretty	| khá, vưaphải;xinh,xinhxắn;,đẹp
2225	| prevent	| ngăn cản, ngăn chặn, ngăn ngưa
2226	| previous	| vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
2227	| previously	| trước, trước đây
2228	| price	| giá
2229	| pride	| sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
2230	| priest	| linh mục, thầy tu
2231	| primarily	| trước hết, đầu tiên
2232	| primary	| nguyênthủy,đầutiên;thờicổ đại,nguyênsinh;sơ cấp, tiểuhọc
2233	| prime minister	| thủ tướng
2234	| prince	| hoàn tử
2235	| princess	| công chúa
2236	| principle	| cơ bản, chủ yếu; nguyên lý, nguyên tắc
2237	| print	| in, xuất bản; sự in ra
2238	| printer	| máy in, thợ in
2239	| printing	| sự in, thuật in, kỹ sảo in
2240	| prior	| trước, ưu tiên
2241	| priority	| sự ưu tế, quyền ưu tiên
2242	| prison	| nhà tù
2243	| prisoner	| tù nhân
2244	| private	| cá nhân, riêng
2245	| privately	| riêng tư, cá nhân
2246	| prize	| giải, giải thưởng
2247	| probable	| có thể, có khả năng
2248	| probably	| hầu như chắc chắn
2249	| problem	| vấn đề, điều khó giải quyết
2250	| procedure	| thủ tục
2251	| proceed	| tiến lên, theo duổi, tiếp diễn
2252	| process	| quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
2253	| produce	| sản xuất, chế tạo
2254	| producer	| nhà sản xuất
2255	| product	| sản phẩm
2256	| production	| sự sản xuất, chế tạo
2257	| profession	| nghề, nghề nghiệp
2258	| professional	| (thuộc) nghề, nghề nghiệp; chuyên nghiệp
2259	| professor	| giáo sư, giảng viên
2260	| profit	| thuận lợi, lợi ích, lợi nhuận
2261	| program	| chươngtrình;lên chươngtrình
2262	| programme	| chương trình
2263	| progress	| sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
2264	| project	| đề án, dự án, kế hoạch; dự kiến, kế hoạch
2265	| promise	| hứa, lời hứa
2266	| promote	| thăng chức, thăng cấp
2267	| promotion	| sự thăng chức, sự thăng cấp
2268	| prompt	| mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
2269	| promptly	| mau lẹ, ngay lập tức
2270	| pronounce	| tuyên bố, thông báo, phát âm
2271	| pronunciation	| sự phát âm
2272	| proof	| chứng,chứngcớ,bằngchứng;sự kiểmchứng
2273	| proper	| đúng, thích đáng, thích hợp
2274	| properly	| một cách đúng đắn, một cách thích đáng
2275	| property	| tài sản, của cải; đất đấi, nhà cửa, bất động sản
2276	| proportion	| sự cân xứng, sự cân đối
2277	| proposal	| sự đề nghị, đề xuất
2278	| propose	| đề nghị, đề xuat, đưa ra
2279	| prospect	| viễn cảnh, toàn cảnh; triển vọng, mong chờ
2280	| protect	| bảo vệ, che chở
2281	| protection	| sự bảo vệ, sự che chở
2282	| protest	| sựphảnđối, sựphảnkháng;phảnđối,phảnkháng
2283	| proud	| tự hào, kiêu hãnh
2284	| proudly	| một cách tự hào, một cách hãnh diện
2285	| prove	| chứng tỏ, chứng minh
2286	| provide	| chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
2287	| provided, providing	| với điều kiện là, miễn là
2288	| pub, publicyhouse	| quán rượu, tiệm rượu
2289	| public	| chung,côngcộng;côngchúng, nhândân.inpublicgiữacôngchúng,công khai
2290	| publication	| sự công bố; sự xuất bản
2291	| publicity	| sựcôngkhai, sựquảngcáo
2292	| publicly	| công khai, công cộng
2293	| publish	| công bố, ban bố; xuất bản
2294	| publishing	| công việc, nghề xuất bản
2295	| pull	| lôi, kéo, giật; sự lôi kéo, sự giật
2296	| punch	| đấm, thụi; quả đấm, cú thụi
2297	| punish	| phạt, trưng phạt
2298	| punishment	| sự trưng phạt, sự trưng trị
2299	| pupil	| học sinh
2300	| purchase	| sự mua, sự tậu; mua, sắm, tậu
2301	| pure	| nguyên chất, tinh khiết, trong lành
2302	| purely	| hoàntoàn,chỉlà
2303	| purple	| tía, có màu tía; màu tía
2304	| purpose	| mục đích, ý định. on purpose cố tình, cố ý, có chủ tâm
2305	| pursue	| đuổi theo, đuổi bắt
2306	| push	| xô đẩy; sự xô đẩy
2307	| put	| đặt, để, cho vào
2308	| put sth on	| mặc (áo), đội (mũ), đi (giày). put sth out tắt, dập tắt
2309	| qualification	| phẩm chất, năng lực; khả năng chuyên môn
2310	| qualified	| đủ tư cách, điều kiện, khả năng
2311	| qualify	| đủ khả năng, đủ tư cách, điều kiệ
2312	| quality	| chất lượng, phẩm chất
2313	| quantity	| lượng, số lượng
2314	| quarter	| 1/4, 15 phút
2315	| queen	| nữ hoàng
2316	| question	| câu hỏi; hỏi, chất vấn
2317	| quick	| nhanh
